run,model,k,silhouette_train,calinski_harabasz_train,davies_bouldin_train,inertia_train,eps,n_clusters,n_noise,silhouette,calinski_harabasz,davies_bouldin
random_baseline_k4,Random assignment,4.0,-0.018342824508640655,,,,,,,,,
baseline_kmeans_k2,"K-Means (baseline, k=2)",2.0,0.20014377421439203,110.78439331691358,1.811609871479612,,,,,,,
kmeans_k2,K-Means,2.0,0.20014377421439203,110.78439331691358,1.811609871479612,3082.538732491409,,,,,,
kmeans_k3,K-Means,3.0,0.154456451028816,81.02721785529198,2.22034432353746,2789.8685087942713,,,,,,
kmeans_k4,K-Means,4.0,0.1357904849199798,63.10228827405023,2.268954028006457,2654.23456435114,,,,,,
kmeans_k5,K-Means,5.0,0.10601759539391635,53.972495767162876,2.5646115913495935,2533.405319992997,,,,,,
kmeans_k6,K-Means,6.0,0.10623876836860159,47.42172264805637,2.3735907127979714,2443.6675168338643,,,,,,
kmeans_k7,K-Means,7.0,0.10101376404429857,41.79372188443936,2.3334196261998934,2388.0764300766273,,,,,,
kmeans_k8,K-Means,8.0,0.08898470779269448,37.9743409188766,2.6100090529016042,2329.5737378774597,,,,,,
agglomerative_k4,Agglomerative (Ward),4.0,0.10853851510467079,56.02729312571259,2.558081442940477,,,,,,,
dbscan_best,DBSCAN,,,,,,2.0,5.0,326.0,0.37785524755625266,40.07319494012176,0.9793422990086501
